search term,similarity to product title
0,0.185883
1,-0.0014601
2,0.0646404
3,0.393078
4,0.582569
5,0.186541
6,0.532908
7,0
8,0.0491668
9,0.338325
10,0.0107444
11,0.758958
12,0.374194
13,0.610681
14,0.466638
15,0.0443681
16,0.139244
17,0.0131458
18,0.00519319
19,0.00597309
20,0.0068642
21,0.0345584
22,0.480943
23,0.510884
24,0.424467
25,0.213681
26,0.360237
27,-0.0193849
28,0.142876
29,0.0773676
30,0.753496
31,0.436718
32,0.469697
33,0.501815
34,-0.0301766
35,0.12221
36,0.00103531
37,0.0367393
38,-0.00133108
39,0.0259268
40,0.021654
41,0.099932
42,0.125589
43,0.13169
44,0.0104559
45,0.349891
46,0.386367
47,0.0778523
48,0.307221
49,-0.000372394
50,0.172348
51,0.113599
52,0.00914749
53,0.00228413
54,0.0904984
55,0.0140594
56,0.127935
57,0.561275
58,0.799776
59,0.412596
60,0.186629
61,0.8944
62,0.214315
63,0.500425
64,0.148896
65,0.295304
66,0.147584
67,0.55587
68,0.69987
69,0.472241
70,0.327022
71,0.409764
72,0.00753163
73,0.439703
74,-0.0301529
75,0.269498
76,0.418587
77,0.263378
78,0.263378
79,0.409192
80,0.139287
81,0.761078
82,0.548426
83,0
84,0
85,0.438726
86,0.541338
87,0.281757
88,0.800979
89,0.54334
90,0.7427
91,0.69711
92,0.692873
93,0.158046
94,0.504481
95,0.587209
96,0.70449
97,0.38007
98,0.691061
99,0.200378
100,0.0791118
101,-0.0584575
102,0.00885024
103,0.229128
104,0.228421
105,0.229128
106,0.404238
107,0.0186445
108,0.0394014
109,0.0414948
110,0.285428
111,-0.00473953
112,0.45569
113,0.697551
114,0.780437
115,0.562341
116,0.525313
117,0.27336
118,0.412988
119,0.324136
120,0.419445
121,0.423744
122,0.709895
123,0.473023
124,0.294484
125,0.475381
126,0.466588
127,0.538932
128,0.639858
129,0.639858
130,0.59775
131,0.481858
132,0.481915
133,0.479586
134,0.924993
135,0.51314
136,0.285864
137,0.435016
138,-0.00241099
139,0.00644875
140,-0.00192637
141,0.670292
142,0.564823
143,0.386208
144,0.356546
145,-0.00921384
146,0.27311
147,0.280402
148,0.0238095
149,0.457987
150,0.40165
151,0.533588
152,0.0254758
153,0.181689
154,0.011114
155,0.565423
156,0.523951
157,0.0204651
158,0.243566
159,0.168974
160,0.488347
161,0.689894
162,-0.0498278
163,0.0450298
164,0.689894
165,0.688412
166,0.765884
167,0.765884
168,0.697707
169,0
170,0.905542
171,0.750295
172,0.493598
173,0.523885
174,0.53042
175,0.442935
176,0.485836
177,0.540062
178,0.324172
179,0.53884
180,0.191079
181,0.104597
182,-0.0020292
183,0.598795
184,0.0498547
185,0.23683
186,0.28072
187,0.38644
188,0.124237
189,0.0284292
190,0.277755
191,0.51754
192,0.540264
193,0.591166
194,0.159866
195,0.242438
196,0.0338556
197,0.211874
198,0.272365
199,0.378629
200,0.177079
201,0.508148
202,0.638177
203,0.459186
204,0.14929
205,0.667898
206,0.663629
207,0.645898
208,0.034421
209,1
210,0.200894
211,0.0266062
212,0.629403
213,0.526724
214,0.363824
215,0.000297137
216,0.471642
217,0.0395854
218,0.0511396
219,0.425782
220,0.743599
221,0.873717
222,0.609257
223,0.758383
224,0.616105
225,0.584523
226,-0.000640249
227,0.081526
228,0.315837
229,0.389001
230,0.115798
231,0.209194
232,0.0549286
233,-0.0031273
234,0.258503
235,0.217444
236,0.156493
237,0.284763
238,0.134374
239,0
240,0.0261792
241,0.350355
242,0.00430794
243,0.0296563
244,0.330788
245,0.00184294
246,0.76236
247,0.322292
248,0.331736
249,0.53966
250,0.588162
251,0.506548
252,0.330773
253,0.490764
254,0
255,0
256,0.251837
257,0.275344
258,0.391814
259,0.580967
260,0.592441
261,0.593843
262,0.571507
263,0.721287
264,0.681916
265,0.678475
266,0.342514
267,0.278863
268,0.394152
269,0.685971
270,0.256602
271,0.429922
272,0.373281
273,0.411526
274,0.400719
275,0.429922
276,0.406556
277,0.429922
278,0.331292
279,0.00532591
280,0.300037
281,0.113286
282,0.0654529
283,0.239928
284,0.029667
285,0.356103
286,0.502569
287,0.463424
288,0.427822
289,-0.0246906
290,0.151065
291,0.0116185
292,0.200654
293,0.24768
294,0.327746
295,0.742563
296,0.309388
297,0.0131035
298,0.674523
299,0.625085
300,0.385193
301,0.403798
302,0.75436
303,0.720389
304,0.723696
305,0.363559
306,0.453612
307,0.122893
308,0
309,0.341505
310,0.376176
311,0.26751
312,0.596566
313,0.435145
314,0.685912
315,0.598112
316,0.0505564
317,0.367192
318,0.0827203
319,-0.0531441
320,0.00379354
321,0.68817
322,0
323,0.505186
324,0.46581
325,0.479801
326,0.588334
327,0.119932
328,0.0210519
329,0.73301
330,0.282058
331,-0.0371301
332,0.741204
333,0.636019
334,-0.0191138
335,0.254987
336,0.0973137
337,0.00273183
338,0.427329
339,0.263235
340,0.144675
341,0.437175
342,0.0127204
343,0.0256955
344,0.0657338
345,0.547313
346,0.58998
347,0.615438
348,0.279791
349,0.556265
350,0.592552
351,0.55764
352,0.627687
353,0.627687
354,0.730575
355,0.730568
356,0.627655
357,0.406552
358,0.0663773
359,0.18722
360,0.412099
361,0
362,0.617205
363,0.609387
364,0.448736
365,0.181425
366,0.431807
367,0.0499988
368,0.356128
369,0.348036
370,0.369694
371,0.262177
372,0.134268
373,0.00495514
374,0.154686
375,0.216984
376,0.210168
377,0.15751
378,0.108143
379,0.0994879
380,0.0268645
381,0.00681009
382,0.00711101
383,0.454539
384,0.987785
385,0.988054
386,0.704125
387,0.708779
388,0.181119
389,0.399548
390,0.562015
391,0.579773
392,0
393,0
394,0.186709
395,0.233848
396,0.329011
397,0.392212
398,0.0840575
399,0.118692
400,0.26619
401,0.0990127
402,0.358681
403,0
404,0.106909
405,0.525652
406,0.00178291
407,0.280855
408,0.710362
409,0.0534021
410,0.288637
411,0.605413
412,0.710465
413,0.70589
414,0.531882
415,0.534795
416,0.500154
417,0.0672654
418,0.771643
419,0.00630204
420,0.317575
421,0.796274
422,0.974499
423,0.432379
424,0.460999
425,0.00373285
426,0.00356014
427,0.160952
428,0
429,0.313138
430,0.0108146
431,0.652827
432,0.647439
433,0.365178
434,0.318169
435,0.471068
436,0.112487
437,0.273185
438,0.507775
439,0.425668
440,0.000926371
441,0.137132
442,0.243509
443,0.00547258
444,0
445,0.211043
446,0.0241859
447,0.0151461
448,0.489071
449,0.488821
450,0.227968
451,0.504895
452,0.459376
453,0
454,0.0279811
455,0.423192
456,0.76132
457,0.650387
458,0.214746
459,0.707899
460,0.701967
461,0.748133
462,0.648446
463,0.657712
464,0.656178
465,0.296538
466,0
467,0.152924
468,0.134685
469,0.229614
470,0.655737
471,0.342119
472,0.667602
473,0.688871
474,0.182115
475,0.262536
476,0.297587
477,0.322426
478,-0.061896
479,0.368019
480,0.510119
481,0.0470392
482,0.496673
483,0.633539
484,0.618627
485,0.339589
486,0.00831836
487,0.0112895
488,0.876569
489,0.622716
490,-0.00100195
491,0.155532
492,0.0339611
493,-0.00962116
494,0.0285372
495,0.486004
496,0.440116
497,0.337903
498,-0.0121965
499,0.608108
500,0.483625
501,0.43937
502,0.448992
503,0.169196
504,0.106272
505,0.0643491
506,-0.00407238
507,0.397184
508,0.695417
509,0.201178
510,0.314475
511,0.675721
512,0.140998
513,0.002351
514,0.0325173
515,-0.0294631
516,-0.00353111
517,0.408234
518,0.605836
519,0.638847
520,0.514446
521,0
522,0.129601
523,0.481026
524,0.735383
525,0.0268615
526,0.0268615
527,-0.040801
528,0.724018
529,0.63338
530,0.71908
531,0.0416505
532,0.0174509
533,0.332932
534,0.365514
535,0.164703
536,0.153916
537,0.297492
538,0.0714528
539,0.224887
540,0.157826
541,0.584281
542,0.37103
543,0.297263
544,0.612155
545,0.429457
546,0.394921
547,0.378072
548,0.00259358
549,0.0534951
550,0.0520913
551,0.0427462
552,0.445088
553,0.325425
554,0.123203
555,0.38348
556,0.596001
557,0.736648
558,0.638647
559,0.427039
560,0.365236
561,0.347607
562,0.509143
563,0.46256
564,0.432613
565,0.369836
566,0.454256
567,0.39545
568,0.456971
569,0.340204
570,0.365972
571,0.0228334
572,0.261604
573,0.106258
574,0.415138
575,0.286935
576,0.0666952
577,0.0484847
578,0.426268
579,0.938141
580,0.479697
581,0.335582
582,0.261872
583,0.327348
584,0.449257
585,0.241449
586,0.110131
587,0.0150241
588,0.449526
589,0.362041
590,0.446722
591,0.413734
592,0.0798511
593,-0.0172624
594,-0.0296656
595,0.00489846
596,0.645413
597,0.65767
598,0.334098
599,0.254658
600,0.305027
601,0.590323
602,0.523695
603,0.509599
604,0.0465798
605,0.261935
606,0.802335
607,0.447589
608,0.175788
609,0.269789
610,0.264687
611,-0.0451894
612,-0.00320938
613,-0.00470539
614,0.000959806
615,0.014669
616,0.558057
617,0.104467
618,0.678951
619,-0.0180846
620,0.0188165
621,-0.005094
622,0.267173
623,0.206953
624,0.328837
